CoReg;Year;Series;Value;Footnotes;Source
Kyrgyzstan;2015;Changes in stocks (petajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2016;Changes in stocks (petajoules);-4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2017;Changes in stocks (petajoules);5;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2018;Changes in stocks (petajoules);-2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;1995;Total supply (petajoules);101;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2000;Total supply (petajoules);101;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2005;Total supply (petajoules);114;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2010;Total supply (petajoules);115;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2015;Total supply (petajoules);167;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2016;Total supply (petajoules);162;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2017;Total supply (petajoules);162;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2018;Total supply (petajoules);192;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;1995;Supply per capita (gigajoules);22;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2000;Supply per capita (gigajoules);20;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2005;Supply per capita (gigajoules);23;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2010;Supply per capita (gigajoules);21;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2015;Supply per capita (gigajoules);28;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2016;Supply per capita (gigajoules);27;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2017;Supply per capita (gigajoules);26;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2018;Supply per capita (gigajoules);30;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;1995;Primary energy production (petajoules);56;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2000;Primary energy production (petajoules);57;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2005;Primary energy production (petajoules);64;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2010;Primary energy production (petajoules);98;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2015;Primary energy production (petajoules);162;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2016;Primary energy production (petajoules);267;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2017;Primary energy production (petajoules);276;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2018;Primary energy production (petajoules);291;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;1995;Net imports [Imports - Exports - Bunkers] (petajoules);7;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2000;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2005;Net imports [Imports - Exports - Bunkers] (petajoules);5;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2010;Net imports [Imports - Exports - Bunkers] (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2015;Net imports [Imports - Exports - Bunkers] (petajoules);7;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2016;Net imports [Imports - Exports - Bunkers] (petajoules);-26;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2017;Net imports [Imports - Exports - Bunkers] (petajoules);-46;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-54;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2016;Changes in stocks (petajoules);34;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2017;Changes in stocks (petajoules);-1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2018;Changes in stocks (petajoules);-1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;1995;Total supply (petajoules);63;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2000;Total supply (petajoules);58;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2005;Total supply (petajoules);69;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2010;Total supply (petajoules);100;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2015;Total supply (petajoules);169;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2016;Total supply (petajoules);206;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2017;Total supply (petajoules);232;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2018;Total supply (petajoules);239;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;1995;Supply per capita (gigajoules);13;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2000;Supply per capita (gigajoules);11;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2005;Supply per capita (gigajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2010;Supply per capita (gigajoules);16;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2015;Supply per capita (gigajoules);25;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2016;Supply per capita (gigajoules);30;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2017;Supply per capita (gigajoules);33;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Lao People's Dem. Rep.;2018;Supply per capita (gigajoules);34;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Latvia;1995;Primary energy production (petajoules);60;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Latvia;2000;Primary energy production (petajoules);59;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Latvia;2005;Primary energy production (petajoules);78;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Latvia;2010;Primary energy production (petajoules);83;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Latvia;2015;Primary energy production (petajoules);98;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Latvia;2016;Primary energy production (petajoules);102;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
